Row ID,Row Name,HP,Defense,Poison,Rot,Blood,Frost,Sleep,Madness,Death Blight,Runes,Physical Attack,Magic Attack,Fire Attack,Lightning Attack,Holy Attack,Stamina Attack
-1,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7000,Tier 1 - Stranded Graveyard,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1
7010,Tier 2 - Limgrave Middle,1.141,1.013,2.018,2.018,2.018,2.018,2.018,2.018,1,1,1.096703,1.096703,1.096703,1.096703,1.096703,1.021
7020,Tier 3 - Limgrave South,1.281,1.026,2.035,2.035,2.035,2.035,2.035,2.035,1,1,1.202198,1.202198,1.202198,1.202198,1.202198,1.031
7030,Tier 4 - Limgrave North,1.656,1.039,2.053,2.053,2.053,2.053,2.053,2.053,1,1,1.494506,1.494506,1.494506,1.494506,1.494506,1.052
7040,Tier 5 - Stormveil,1.813,1.053,2.07,2.07,2.07,2.07,2.07,2.07,1,1,1.494506,1.494506,1.494506,1.494506,1.494506,1.119
7050,Tier 6 - Siofra River,1.953,1.066,2.088,2.088,2.088,2.088,2.088,2.088,1,1,1.69011,1.69011,1.69011,1.69011,1.69011,1.141
7060,Tier 7 - South Liurnia / Academy,2.266,1.079,2.105,2.105,2.105,2.105,2.105,2.105,1,1,1.758242,1.758242,1.758242,1.758242,1.758242,1.141
7070,Tier 8 - North Liurnia / Academy,2.406,1.093,2.123,2.123,2.123,2.123,2.123,2.123,1,1,1.830769,1.830769,1.830769,1.830769,1.830769,1.162
7080,Tier 9 - Lower Mt. Gelmir / Ainsel River,2.688,1.106,2.14,2.14,2.14,2.14,2.14,2.14,1,1,2,2,2,2,2,1.189
7090,Tier 10 - Upper Mt. Gelmir / West Caelid,3.25,1.119,2.158,2.158,2.158,2.158,2.158,2.158,1,1,2.279121,2.279121,2.279121,2.279121,2.279121,1.211
7100,Tier 11 - Altus Plateau / South Caelid,3.703,1.133,2.175,2.175,2.175,2.175,2.175,2.175,1,1,2.472528,2.472528,2.472528,2.472528,2.472528,1.211
7110,Tier 12 - Leyndell / Nokstella,4.125,1.146,2.193,2.193,2.193,2.193,2.193,2.193,1,1,2.672528,2.672528,2.672528,2.672528,2.672528,1.263
7120,Tier 13 - Volcano Manor / North Caelid,4.844,1.159,2.21,2.21,2.21,2.21,2.21,2.21,1,1,3.243956,3.243956,3.243956,3.243956,3.243956,1.285
7130,Tier 14 - Leyndell Sewers,5.484,1.172,2.228,2.228,2.228,2.228,2.228,2.228,1,1,3.243956,3.243956,3.243956,3.243956,3.243956,1.317
7140,Tier 15 - Mountaintops / Early Farum Azula,6.563,1.186,2.245,2.245,2.245,2.245,2.245,2.245,1,1,3.52967,3.52967,3.52967,3.52967,3.52967,1.317
7150,Tier 16 - Late Farum Azula,6.688,1.2,2.28,2.28,2.28,2.28,2.28,2.28,1,1,3.584615,3.584615,3.584615,3.584615,3.584615,1.34
7160,Tier 17 - Ashen Leyndell / Consecrated Snowfield,6.875,1.2,2.385,2.385,2.385,2.385,2.385,2.385,1,1,3.63956,3.63956,3.63956,3.63956,3.63956,1.34
7170,Tier 18 - Elden Throne,7.047,1.217,2.49,2.49,2.49,2.49,2.49,2.49,1,1,3.745055,3.745055,3.745055,3.745055,3.745055,1.3683
7180,Tier 19 - Haligtree / Mohgwyn Palace,7.203,1.22,2.595,2.595,2.595,2.595,2.595,2.595,1,1,3.795604,3.795604,3.795604,3.795604,3.795604,1.37396
7190,Tier 20 - Elphael,7.328,1.23,2.7,2.7,2.7,2.7,2.7,2.7,1,1,3.795604,3.795604,3.795604,3.795604,3.795604,1.39094
7200,Tier 21 - Haligtree Roots,7.422,1.232,2.733,2.733,2.733,2.733,2.733,2.733,1,1,3.795604,3.795604,3.795604,3.795604,3.795604,1.39377
7400,Tier 1 - Stranded Graveyard (NG+),3.434,1.172,1.097,1.097,1.097,1.097,1.097,1.097,1,5,1.902,1.902,1.902,1.902,1.902,1.2
7410,Tier 2 - Limgrave Middle (NG+),3.122,1.173,1.095,1.095,1.095,1.095,1.095,1.095,1,5,1.965,1.965,1.965,1.965,1.965,1.191
7420,Tier 3 - Limgrave South (NG+),2.857,1.174,1.093,1.093,1.093,1.093,1.093,1.093,1,5,1.768,1.768,1.768,1.768,1.768,1.182
7430,Tier 4 - Limgrave North (NG+),2.355,1.175,1.091,1.091,1.091,1.091,1.091,1.091,1,5,1.68,1.68,1.68,1.68,1.68,1.173
7440,Tier 5 - Stormveil (NG+),2.146,1.176,1.089,1.089,1.089,1.089,1.089,1.089,1,4,1.609,1.609,1.609,1.609,1.609,1.164
7450,Tier 6 - Siofra River (NG+),2.099,1.177,1.087,1.087,1.087,1.087,1.087,1.087,1,4,1.483,1.483,1.483,1.483,1.483,1.155
7460,Tier 7 - South Liurnia / Academy (NG+),1.845,1.178,1.085,1.085,1.085,1.085,1.085,1.085,1,4,1.4,1.4,1.4,1.4,1.4,1.146
7470,Tier 8 - North Liurnia / Academy (NG+),1.523,1.179,1.083,1.083,1.083,1.083,1.083,1.083,1,3,1.314,1.314,1.314,1.314,1.314,1.137
7480,Tier 9 - Lower Mt. Gelmir / Ainsel River (NG+),1.479,1.18,1.081,1.081,1.081,1.081,1.081,1.081,1,3,1.239,1.239,1.239,1.239,1.239,1.128
7490,Tier 10 - Upper Mt. Gelmir / West Caelid (NG+),1.461,1.181,1.079,1.079,1.079,1.079,1.079,1.079,1,3,1.2,1.2,1.2,1.2,1.2,1.119
7500,Tier 11 - Altus Plateau / South Caelid (NG+),1.296,1.182,1.077,1.077,1.077,1.077,1.077,1.077,1,3,1.15,1.15,1.15,1.15,1.15,1.11
7510,Tier 12 - Leyndell / Nokstella (NG+),1.253,1.183,1.075,1.075,1.075,1.075,1.075,1.075,1,3,1.141,1.141,1.141,1.141,1.141,1.101
7520,Tier 13 - Volcano Manor / North Caelid (NG+),1.264,1.184,1.073,1.073,1.073,1.073,1.073,1.073,1,2,1.135,1.135,1.135,1.135,1.135,1.092
7530,Tier 14 - Leyndell Sewers (NG+),1.191,1.185,1.071,1.071,1.071,1.071,1.071,1.071,1,2,1.134,1.134,1.134,1.134,1.134,1.083
7540,Tier 15 - Mountaintops / Early Farum Azula (NG+),1.008,1.186,1.069,1.069,1.069,1.069,1.069,1.069,1,2,1.122,1.122,1.122,1.122,1.122,1.074
7550,Tier 16 - Late Farum Azula (NG+),1.001,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.094,1.094,1.094,1.094,1.094,1.065
7560,Tier 17 - Ashen Leyndell / Consecrated Snowfield (NG+),1.015,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.134,1.134,1.134,1.134,1.134,1.07
7570,Tier 18 - Elden Throne (NG+),1.001,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.094,1.094,1.094,1.094,1.094,1.065
7580,Tier 19 - Haligtree / Mohgwyn Palace (NG+),1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
7590,Tier 20 - Elphael (NG+),1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
7600,Tier 21 - Haligtree Roots (NG+),1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
7800,Multiplayer - 1 Summon,1.25,1,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1
7801,Multiplayer - 2 Summons,1.35,1,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1
7802,Multiplayer - 3 Summons,1.5,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1
7810,Multiplayer - 1 Summon,1.3,1,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1
7811,Multiplayer - 2 Summons,1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1
7812,Multiplayer - 3 Summons,1.6,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1
7820,Multiplayer - 1 Summon,1.6,1,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1
7821,Multiplayer - 2 Summons,2.3,1,2,1.5,1.5,1.5,1.5,1.5,1,1,1.1,1.1,1.1,1.1,1.1,1
7822,Multiplayer - 3 Summons,2.7,1,2.5,2,2,2,2,2,1,1,1.15,1.15,1.15,1.15,1.15,1
7830,Multiplayer - 1 Summon,1.6,1,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1
7831,Multiplayer - 2 Summons,2.3,1,2,1.5,1.5,1.5,1.5,1.5,1,1,1.1,1.1,1.1,1.1,1.1,1
7832,Multiplayer - 3 Summons,2.7,1,2.5,2,2,2,2,2,1,1,1.15,1.15,1.15,1.15,1.15,1
13941,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19300,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19310,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19311,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19350,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19351,Other NPC Scaling,1.122,1.013,1.009,1.009,1.009,1.009,1.009,1.009,1,1,1.058,1.058,1.058,1.058,1.058,1.021
19352,Other NPC Scaling,1.229,1.026,1.019,1.019,1.019,1.019,1.019,1.019,1,1,1.128,1.128,1.128,1.128,1.128,1.031
19353,Other NPC Scaling,1.55,1.039,1.029,1.029,1.029,1.029,1.029,1.029,1,1,1.346,1.346,1.346,1.346,1.346,1.052
19354,Other NPC Scaling,1.692,1.053,1.038,1.038,1.038,1.038,1.038,1.038,1,1,1.354,1.354,1.354,1.354,1.354,1.119
19355,Other NPC Scaling,1.782,1.066,1.048,1.048,1.048,1.048,1.048,1.048,1,1,1.477,1.477,1.477,1.477,1.477,1.141
19356,Other NPC Scaling,2.013,1.079,1.058,1.058,1.058,1.058,1.058,1.058,1,1,1.539,1.539,1.539,1.539,1.539,1.141
19357,Other NPC Scaling,2.138,1.093,1.067,1.067,1.067,1.067,1.067,1.067,1,1,1.582,1.582,1.582,1.582,1.582,1.162
19358,Other NPC Scaling,2.423,1.106,1.077,1.077,1.077,1.077,1.077,1.077,1,1,1.719,1.719,1.719,1.719,1.719,1.189
19359,Other NPC Scaling,2.94,1.119,1.087,1.087,1.087,1.087,1.087,1.087,1,1,1.911,1.911,1.911,1.911,1.911,1.211
19360,Other NPC Scaling,3.367,1.133,1.097,1.097,1.097,1.097,1.097,1.097,1,1,2.118,2.118,2.118,2.118,2.118,1.211
19361,Other NPC Scaling,3.741,1.146,1.106,1.106,1.106,1.106,1.106,1.106,1,1,2.255,2.255,2.255,2.255,2.255,1.263
19362,Other NPC Scaling,4.383,1.159,1.116,1.116,1.116,1.116,1.116,1.116,1,1,2.705,2.705,2.705,2.705,2.705,1.285
19363,Other NPC Scaling,4.953,1.172,1.126,1.126,1.126,1.126,1.126,1.126,1,1,2.71,2.71,2.71,2.71,2.71,1.317
19364,Other NPC Scaling,5.897,1.186,1.135,1.135,1.135,1.135,1.135,1.135,1,1,2.931,2.931,2.931,2.931,2.931,1.317
19365,Other NPC Scaling,6.004,1.2,1.145,1.145,1.145,1.145,1.145,1.145,1,1,2.964,2.964,2.964,2.964,2.964,1.34
19366,Other NPC Scaling,6.164,1.2,1.147,1.147,1.147,1.147,1.147,1.147,1,1,3.021,3.021,3.021,3.021,3.021,1.34
19367,Other NPC Scaling,6.342,1.217,1.159,1.159,1.159,1.159,1.159,1.159,1,1,3.101,3.101,3.101,3.101,3.101,1.3683
19368,Other NPC Scaling,6.449,1.22,1.162,1.162,1.162,1.162,1.162,1.162,1,1,3.151,3.151,3.151,3.151,3.151,1.37396
19369,Other NPC Scaling,6.592,1.23,1.169,1.169,1.169,1.169,1.169,1.169,1,1,3.161,3.161,3.161,3.161,3.161,1.39094
19370,Other NPC Scaling,6.609,1.232,1.17,1.17,1.17,1.17,1.17,1.17,1,1,3.162,3.162,3.162,3.162,3.162,1.39377
19386,Other NPC Scaling,2,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,1
19387,Other NPC Scaling,3,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,1
19388,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19389,Other NPC Scaling,2,1,1,1,1,1,1,1,1,1,0.35,0.35,0.35,0.35,0.35,1
19390,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19391,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19392,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19393,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19394,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19395,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19396,Other NPC Scaling,3,1,1,1,1,1,1,1,1,1,0.45,0.45,0.45,0.45,0.45,1
19397,Other NPC Scaling,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19398,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19399,Other NPC Scaling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19500,Other NPC Scaling,3.434,1.172,1.097,1.097,1.097,1.097,1.097,1.097,1,5,1.902,1.902,1.902,1.902,1.902,1.2
19501,Other NPC Scaling,3.122,1.173,1.095,1.095,1.095,1.095,1.095,1.095,1,5,1.965,1.965,1.965,1.965,1.965,1.191
19502,Other NPC Scaling,2.857,1.174,1.093,1.093,1.093,1.093,1.093,1.093,1,5,1.768,1.768,1.768,1.768,1.768,1.182
19503,Other NPC Scaling,2.355,1.175,1.091,1.091,1.091,1.091,1.091,1.091,1,5,1.68,1.68,1.68,1.68,1.68,1.173
19504,Other NPC Scaling,2.146,1.176,1.089,1.089,1.089,1.089,1.089,1.089,1,4,1.609,1.609,1.609,1.609,1.609,1.164
19505,Other NPC Scaling,2.099,1.177,1.087,1.087,1.087,1.087,1.087,1.087,1,4,1.483,1.483,1.483,1.483,1.483,1.155
19506,Other NPC Scaling,1.845,1.178,1.085,1.085,1.085,1.085,1.085,1.085,1,4,1.4,1.4,1.4,1.4,1.4,1.146
19507,Other NPC Scaling,1.523,1.179,1.083,1.083,1.083,1.083,1.083,1.083,1,3,1.314,1.314,1.314,1.314,1.314,1.137
19508,Other NPC Scaling,1.479,1.18,1.081,1.081,1.081,1.081,1.081,1.081,1,3,1.239,1.239,1.239,1.239,1.239,1.128
19509,Other NPC Scaling,1.461,1.181,1.079,1.079,1.079,1.079,1.079,1.079,1,3,1.2,1.2,1.2,1.2,1.2,1.119
19510,Other NPC Scaling,1.296,1.182,1.077,1.077,1.077,1.077,1.077,1.077,1,3,1.15,1.15,1.15,1.15,1.15,1.11
19511,Other NPC Scaling,1.253,1.183,1.075,1.075,1.075,1.075,1.075,1.075,1,3,1.141,1.141,1.141,1.141,1.141,1.101
19512,Other NPC Scaling,1.264,1.184,1.073,1.073,1.073,1.073,1.073,1.073,1,2,1.135,1.135,1.135,1.135,1.135,1.092
19513,Other NPC Scaling,1.191,1.185,1.071,1.071,1.071,1.071,1.071,1.071,1,2,1.134,1.134,1.134,1.134,1.134,1.083
19514,Other NPC Scaling,1.008,1.186,1.069,1.069,1.069,1.069,1.069,1.069,1,2,1.122,1.122,1.122,1.122,1.122,1.074
19515,Other NPC Scaling,1.001,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.094,1.094,1.094,1.094,1.094,1.065
19516,Other NPC Scaling,1.015,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19517,Other NPC Scaling,1.001,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.094,1.094,1.094,1.094,1.094,1.065
19518,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19519,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19520,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19521,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19522,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19523,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19524,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19525,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19526,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19527,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19528,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19550,Other NPC Scaling,2,1.172,1.097,1.097,1.097,1.097,1.097,1.097,1,5,2,2,2,2,2,1.2
19551,Other NPC Scaling,1.947,1.173,1.095,1.095,1.095,1.095,1.095,1.095,1,5,1.95,1.95,1.95,1.95,1.95,1.191
19552,Other NPC Scaling,1.894,1.174,1.093,1.093,1.093,1.093,1.093,1.093,1,5,1.9,1.9,1.9,1.9,1.9,1.182
19553,Other NPC Scaling,1.842,1.175,1.091,1.091,1.091,1.091,1.091,1.091,1,5,1.85,1.85,1.85,1.85,1.85,1.173
19554,Other NPC Scaling,1.789,1.176,1.089,1.089,1.089,1.089,1.089,1.089,1,4,1.8,1.8,1.8,1.8,1.8,1.164
19555,Other NPC Scaling,1.736,1.177,1.087,1.087,1.087,1.087,1.087,1.087,1,4,1.75,1.75,1.75,1.75,1.75,1.155
19556,Other NPC Scaling,1.683,1.178,1.085,1.085,1.085,1.085,1.085,1.085,1,4,1.7,1.7,1.7,1.7,1.7,1.146
19557,Other NPC Scaling,1.631,1.179,1.083,1.083,1.083,1.083,1.083,1.083,1,3,1.65,1.65,1.65,1.65,1.65,1.137
19558,Other NPC Scaling,1.578,1.18,1.081,1.081,1.081,1.081,1.081,1.081,1,3,1.6,1.6,1.6,1.6,1.6,1.128
19559,Other NPC Scaling,1.525,1.181,1.079,1.079,1.079,1.079,1.079,1.079,1,3,1.55,1.55,1.55,1.55,1.55,1.119
19560,Other NPC Scaling,1.472,1.182,1.077,1.077,1.077,1.077,1.077,1.077,1,3,1.5,1.5,1.5,1.5,1.5,1.11
19561,Other NPC Scaling,1.419,1.183,1.075,1.075,1.075,1.075,1.075,1.075,1,3,1.45,1.45,1.45,1.45,1.45,1.101
19562,Other NPC Scaling,1.367,1.184,1.073,1.073,1.073,1.073,1.073,1.073,1,2,1.4,1.4,1.4,1.4,1.4,1.092
19563,Other NPC Scaling,1.314,1.185,1.071,1.071,1.071,1.071,1.071,1.071,1,2,1.35,1.35,1.35,1.35,1.35,1.083
19564,Other NPC Scaling,1.261,1.186,1.069,1.069,1.069,1.069,1.069,1.069,1,2,1.3,1.3,1.3,1.3,1.3,1.074
19565,Other NPC Scaling,1.208,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.25,1.25,1.25,1.25,1.25,1.065
19566,Other NPC Scaling,1.156,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.2,1.2,1.2,1.2,1.2,1.07
19567,Other NPC Scaling,1.103,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.15,1.15,1.15,1.15,1.15,1.065
19568,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.1,1.1,1.1,1.1,1.1,1.07
19569,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19570,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19571,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19572,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19573,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19574,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19575,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19576,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19577,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19578,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07